"state","jurisdiction","fipscode","office","candidate","party","votes","totalvotes"
"LA","St. Landry",2209700000,"President","Tom Hoefling","America's Party",25,39977
"LA","St. Martin",2209900000,"President","Alyson Kennedy","Socialist Workers",3,25750
"LA","St. Martin",2209900000,"President","Chris Keniston","Veteran's Party of America",28,25750
"LA","St. Martin",2209900000,"President","Darrell Castle","Constitution",42,25750
"LA","St. Martin",2209900000,"President","Donald Trump","Republican",16873,25750
"LA","St. Martin",2209900000,"President","Evan McMullin","Independent",66,25750
"LA","St. Martin",2209900000,"President","Gary Johnson","Libertarian",303,25750
"LA","St. Martin",2209900000,"President","Gloria la Riva","Socialism and Liberation",6,25750
"LA","St. Martin",2209900000,"President","Hillary Clinton","Democrat",8266,25750
"LA","St. Martin",2209900000,"President","Jerry White","",4,25750
"LA","St. Martin",2209900000,"President","Jill Stein","Green",121,25750
"LA","St. Martin",2209900000,"President","Laurence Kotlikoff","",16,25750
"LA","St. Martin",2209900000,"President","Princess Jacob","",8,25750
"LA","St. Martin",2209900000,"President","Tom Hoefling","America's Party",14,25750
"LA","St. Mary",2210100000,"President","Alyson Kennedy","Socialist Workers",4,22877
"LA","St. Mary",2210100000,"President","Chris Keniston","Veteran's Party of America",16,22877
"LA","St. Mary",2210100000,"President","Darrell Castle","Constitution",27,22877
"LA","St. Mary",2210100000,"President","Donald Trump","Republican",14359,22877
"LA","St. Mary",2210100000,"President","Evan McMullin","Independent",51,22877
"LA","St. Mary",2210100000,"President","Gary Johnson","Libertarian",245,22877
"LA","St. Mary",2210100000,"President","Gloria la Riva","Socialism and Liberation",2,22877
"LA","St. Mary",2210100000,"President","Hillary Clinton","Democrat",8050,22877
"LA","St. Mary",2210100000,"President","Jerry White","",4,22877
"LA","St. Mary",2210100000,"President","Jill Stein","Green",85,22877
"LA","St. Mary",2210100000,"President","Laurence Kotlikoff","",10,22877
"LA","St. Mary",2210100000,"President","Princess Jacob","",5,22877
"LA","St. Mary",2210100000,"President","Tom Hoefling","America's Party",19,22877
"LA","St. Tammany",2210300000,"President","Alyson Kennedy","Socialist Workers",24,124392
"LA","St. Tammany",2210300000,"President","Chris Keniston","Veteran's Party of America",106,124392
"LA","St. Tammany",2210300000,"President","Darrell Castle","Constitution",206,124392
"LA","St. Tammany",2210300000,"President","Donald Trump","Republican",90915,124392
"LA","St. Tammany",2210300000,"President","Evan McMullin","Independent",777,124392
"LA","St. Tammany",2210300000,"President","Gary Johnson","Libertarian",3409,124392
"LA","St. Tammany",2210300000,"President","Gloria la Riva","Socialism and Liberation",18,124392
"LA","St. Tammany",2210300000,"President","Hillary Clinton","Democrat",27717,124392
"LA","St. Tammany",2210300000,"President","Jerry White","",10,124392
"LA","St. Tammany",2210300000,"President","Jill Stein","Green",1019,124392
"LA","St. Tammany",2210300000,"President","Laurence Kotlikoff","",54,124392
"LA","St. Tammany",2210300000,"President","Princess Jacob","",41,124392
"LA","St. Tammany",2210300000,"President","Tom Hoefling","America's Party",96,124392
"LA","Tangipahoa",2210500000,"President","Alyson Kennedy","Socialist Workers",16,52416
"LA","Tangipahoa",2210500000,"President","Chris Keniston","Veteran's Party of America",47,52416
"LA","Tangipahoa",2210500000,"President","Darrell Castle","Constitution",85,52416
"LA","Tangipahoa",2210500000,"President","Donald Trump","Republican",33959,52416
"LA","Tangipahoa",2210500000,"President","Evan McMullin","Independent",184,52416
"LA","Tangipahoa",2210500000,"President","Gary Johnson","Libertarian",843,52416
"LA","Tangipahoa",2210500000,"President","Gloria la Riva","Socialism and Liberation",11,52416
"LA","Tangipahoa",2210500000,"President","Hillary Clinton","Democrat",16878,52416
"LA","Tangipahoa",2210500000,"President","Jerry White","",12,52416
"LA","Tangipahoa",2210500000,"President","Jill Stein","Green",286,52416
"LA","Tangipahoa",2210500000,"President","Laurence Kotlikoff","",33,52416
"LA","Tangipahoa",2210500000,"President","Princess Jacob","",14,52416
"LA","Tangipahoa",2210500000,"President","Tom Hoefling","America's Party",48,52416
"LA","Tensas",2210700000,"President","Alyson Kennedy","Socialist Workers",2,2548
"LA","Tensas",2210700000,"President","Chris Keniston","Veteran's Party of America",1,2548
"LA","Tensas",2210700000,"President","Darrell Castle","Constitution",1,2548
"LA","Tensas",2210700000,"President","Donald Trump","Republican",1182,2548
"LA","Tensas",2210700000,"President","Evan McMullin","Independent",1,2548
"LA","Tensas",2210700000,"President","Gary Johnson","Libertarian",13,2548
"LA","Tensas",2210700000,"President","Gloria la Riva","Socialism and Liberation",0,2548
"LA","Tensas",2210700000,"President","Hillary Clinton","Democrat",1332,2548
"LA","Tensas",2210700000,"President","Jerry White","",2,2548
"LA","Tensas",2210700000,"President","Jill Stein","Green",8,2548
"LA","Tensas",2210700000,"President","Laurence Kotlikoff","",1,2548
"LA","Tensas",2210700000,"President","Princess Jacob","",3,2548
"LA","Tensas",2210700000,"President","Tom Hoefling","America's Party",2,2548
"LA","Terrebonne",2210900000,"President","Alyson Kennedy","Socialist Workers",8,43896
"LA","Terrebonne",2210900000,"President","Chris Keniston","Veteran's Party of America",41,43896
"LA","Terrebonne",2210900000,"President","Darrell Castle","Constitution",77,43896
"LA","Terrebonne",2210900000,"President","Donald Trump","Republican",31902,43896
"LA","Terrebonne",2210900000,"President","Evan McMullin","Independent",119,43896
"LA","Terrebonne",2210900000,"President","Gary Johnson","Libertarian",808,43896
"LA","Terrebonne",2210900000,"President","Gloria la Riva","Socialism and Liberation",8,43896
"LA","Terrebonne",2210900000,"President","Hillary Clinton","Democrat",10665,43896
"LA","Terrebonne",2210900000,"President","Jerry White","",3,43896
"LA","Terrebonne",2210900000,"President","Jill Stein","Green",215,43896
"LA","Terrebonne",2210900000,"President","Laurence Kotlikoff","",10,43896
"LA","Terrebonne",2210900000,"President","Princess Jacob","",9,43896
"LA","Terrebonne",2210900000,"President","Tom Hoefling","America's Party",31,43896
"LA","Union",2211100000,"President","Alyson Kennedy","Socialist Workers",3,10894
"LA","Union",2211100000,"President","Chris Keniston","Veteran's Party of America",12,10894
"LA","Union",2211100000,"President","Darrell Castle","Constitution",38,10894
"LA","Union",2211100000,"President","Donald Trump","Republican",7972,10894
"LA","Union",2211100000,"President","Evan McMullin","Independent",25,10894
"LA","Union",2211100000,"President","Gary Johnson","Libertarian",108,10894
"LA","Union",2211100000,"President","Gloria la Riva","Socialism and Liberation",1,10894
"LA","Union",2211100000,"President","Hillary Clinton","Democrat",2691,10894
"LA","Union",2211100000,"President","Jerry White","",1,10894
"LA","Union",2211100000,"President","Jill Stein","Green",32,10894
"LA","Union",2211100000,"President","Laurence Kotlikoff","",6,10894
"LA","Union",2211100000,"President","Princess Jacob","",1,10894
"LA","Union",2211100000,"President","Tom Hoefling","America's Party",4,10894
"LA","Vermilion",2211300000,"President","Alyson Kennedy","Socialist Workers",4,25632
"LA","Vermilion",2211300000,"President","Chris Keniston","Veteran's Party of America",26,25632
"LA","Vermilion",2211300000,"President","Darrell Castle","Constitution",48,25632
"LA","Vermilion",2211300000,"President","Donald Trump","Republican",20063,25632
"LA","Vermilion",2211300000,"President","Evan McMullin","Independent",71,25632
"LA","Vermilion",2211300000,"President","Gary Johnson","Libertarian",396,25632
"LA","Vermilion",2211300000,"President","Gloria la Riva","Socialism and Liberation",2,25632
"LA","Vermilion",2211300000,"President","Hillary Clinton","Democrat",4857,25632
"LA","Vermilion",2211300000,"President","Jerry White","",6,25632
"LA","Vermilion",2211300000,"President","Jill Stein","Green",116,25632
"LA","Vermilion",2211300000,"President","Laurence Kotlikoff","",10,25632
"LA","Vermilion",2211300000,"President","Princess Jacob","",10,25632
"LA","Vermilion",2211300000,"President","Tom Hoefling","America's Party",23,25632
"LA","Vernon",2211500000,"President","Alyson Kennedy","Socialist Workers",3,16633
"LA","Vernon",2211500000,"President","Chris Keniston","Veteran's Party of America",35,16633
"LA","Vernon",2211500000,"President","Darrell Castle","Constitution",39,16633
"LA","Vernon",2211500000,"President","Donald Trump","Republican",13471,16633
"LA","Vernon",2211500000,"President","Evan McMullin","Independent",54,16633
"LA","Vernon",2211500000,"President","Gary Johnson","Libertarian",265,16633
"LA","Vernon",2211500000,"President","Gloria la Riva","Socialism and Liberation",2,16633
"LA","Vernon",2211500000,"President","Hillary Clinton","Democrat",2665,16633
"LA","Vernon",2211500000,"President","Jerry White","",2,16633
"LA","Vernon",2211500000,"President","Jill Stein","Green",72,16633
"LA","Vernon",2211500000,"President","Laurence Kotlikoff","",8,16633
"LA","Vernon",2211500000,"President","Princess Jacob","",4,16633
"LA","Vernon",2211500000,"President","Tom Hoefling","America's Party",13,16633
"LA","Washington",2211700000,"President","Alyson Kennedy","Socialist Workers",7,18628
"LA","Washington",2211700000,"President","Chris Keniston","Veteran's Party of America",21,18628
"LA","Washington",2211700000,"President","Darrell Castle","Constitution",29,18628
"LA","Washington",2211700000,"President","Donald Trump","Republican",12556,18628
"LA","Washington",2211700000,"President","Evan McMullin","Independent",35,18628
"LA","Washington",2211700000,"President","Gary Johnson","Libertarian",185,18628
"LA","Washington",2211700000,"President","Gloria la Riva","Socialism and Liberation",4,18628
"LA","Washington",2211700000,"President","Hillary Clinton","Democrat",5692,18628
"LA","Washington",2211700000,"President","Jerry White","",2,18628
"LA","Washington",2211700000,"President","Jill Stein","Green",68,18628
"LA","Washington",2211700000,"President","Laurence Kotlikoff","",8,18628
"LA","Washington",2211700000,"President","Princess Jacob","",6,18628
"LA","Washington",2211700000,"President","Tom Hoefling","America's Party",15,18628
"LA","Webster",2211900000,"President","Alyson Kennedy","Socialist Workers",3,18145
"LA","Webster",2211900000,"President","Chris Keniston","Veteran's Party of America",15,18145
"LA","Webster",2211900000,"President","Darrell Castle","Constitution",14,18145
"LA","Webster",2211900000,"President","Donald Trump","Republican",11542,18145
"LA","Webster",2211900000,"President","Evan McMullin","Independent",41,18145
"LA","Webster",2211900000,"President","Gary Johnson","Libertarian",166,18145
"LA","Webster",2211900000,"President","Gloria la Riva","Socialism and Liberation",4,18145
"LA","Webster",2211900000,"President","Hillary Clinton","Democrat",6260,18145
"LA","Webster",2211900000,"President","Jerry White","",3,18145
"LA","Webster",2211900000,"President","Jill Stein","Green",63,18145
"LA","Webster",2211900000,"President","Laurence Kotlikoff","",13,18145
"LA","Webster",2211900000,"President","Princess Jacob","",6,18145
"LA","Webster",2211900000,"President","Tom Hoefling","America's Party",15,18145
"LA","West Baton Rouge",2212100000,"President","Alyson Kennedy","Socialist Workers",7,12712
"LA","West Baton Rouge",2212100000,"President","Chris Keniston","Veteran's Party of America",15,12712
"LA","West Baton Rouge",2212100000,"President","Darrell Castle","Constitution",13,12712
"LA","West Baton Rouge",2212100000,"President","Donald Trump","Republican",6927,12712
"LA","West Baton Rouge",2212100000,"President","Evan McMullin","Independent",53,12712
"LA","West Baton Rouge",2212100000,"President","Gary Johnson","Libertarian",206,12712
"LA","West Baton Rouge",2212100000,"President","Gloria la Riva","Socialism and Liberation",2,12712
"LA","West Baton Rouge",2212100000,"President","Hillary Clinton","Democrat",5383,12712
"LA","West Baton Rouge",2212100000,"President","Jerry White","",4,12712
"LA","West Baton Rouge",2212100000,"President","Jill Stein","Green",72,12712
"LA","West Baton Rouge",2212100000,"President","Laurence Kotlikoff","",11,12712
"LA","West Baton Rouge",2212100000,"President","Princess Jacob","",3,12712
"LA","West Baton Rouge",2212100000,"President","Tom Hoefling","America's Party",16,12712
"LA","West Carroll",2212300000,"President","Alyson Kennedy","Socialist Workers",2,4759
"LA","West Carroll",2212300000,"President","Chris Keniston","Veteran's Party of America",5,4759
"LA","West Carroll",2212300000,"President","Darrell Castle","Constitution",5,4759
"LA","West Carroll",2212300000,"President","Donald Trump","Republican",3970,4759
"LA","West Carroll",2212300000,"President","Evan McMullin","Independent",11,4759
"LA","West Carroll",2212300000,"President","Gary Johnson","Libertarian",27,4759
"LA","West Carroll",2212300000,"President","Gloria la Riva","Socialism and Liberation",1,4759
"LA","West Carroll",2212300000,"President","Hillary Clinton","Democrat",715,4759
"LA","West Carroll",2212300000,"President","Jerry White","",0,4759
"LA","West Carroll",2212300000,"President","Jill Stein","Green",10,4759
"LA","West Carroll",2212300000,"President","Laurence Kotlikoff","",4,4759
"LA","West Carroll",2212300000,"President","Princess Jacob","",4,4759
"LA","West Carroll",2212300000,"President","Tom Hoefling","America's Party",5,4759
"LA","West Feliciana",2212500000,"President","Alyson Kennedy","Socialist Workers",0,5799
"LA","West Feliciana",2212500000,"President","Chris Keniston","Veteran's Party of America",5,5799
"LA","West Feliciana",2212500000,"President","Darrell Castle","Constitution",6,5799
"LA","West Feliciana",2212500000,"President","Donald Trump","Republican",3390,5799
"LA","West Feliciana",2212500000,"President","Evan McMullin","Independent",25,5799
"LA","West Feliciana",2212500000,"President","Gary Johnson","Libertarian",97,5799
"LA","West Feliciana",2212500000,"President","Gloria la Riva","Socialism and Liberation",0,5799
"LA","West Feliciana",2212500000,"President","Hillary Clinton","Democrat",2248,5799
"LA","West Feliciana",2212500000,"President","Jerry White","",2,5799
"LA","West Feliciana",2212500000,"President","Jill Stein","Green",17,5799
"LA","West Feliciana",2212500000,"President","Laurence Kotlikoff","",3,5799
"LA","West Feliciana",2212500000,"President","Princess Jacob","",2,5799
"LA","West Feliciana",2212500000,"President","Tom Hoefling","America's Party",4,5799
"LA","Winn",2212700000,"President","Alyson Kennedy","Socialist Workers",3,6372
"LA","Winn",2212700000,"President","Chris Keniston","Veteran's Party of America",8,6372
"LA","Winn",2212700000,"President","Darrell Castle","Constitution",13,6372
"LA","Winn",2212700000,"President","Donald Trump","Republican",4608,6372
"LA","Winn",2212700000,"President","Evan McMullin","Independent",15,6372
"LA","Winn",2212700000,"President","Gary Johnson","Libertarian",40,6372
"LA","Winn",2212700000,"President","Gloria la Riva","Socialism and Liberation",0,6372
"LA","Winn",2212700000,"President","Hillary Clinton","Democrat",1644,6372
"LA","Winn",2212700000,"President","Jerry White","",0,6372
"LA","Winn",2212700000,"President","Jill Stein","Green",29,6372
"LA","Winn",2212700000,"President","Laurence Kotlikoff","",0,6372
"LA","Winn",2212700000,"President","Princess Jacob","",4,6372
"LA","Winn",2212700000,"President","Tom Hoefling","America's Party",8,6372
"MA","Abington",2502300170,"President","All Others","",101,8912
"MA","Abington",2502300170,"President","Blank Votes","",160,8912
"MA","Abington",2502300170,"President","Hillary Clinton","Democrat",4115,8912
"MA","Abington",2502300170,"President","Feegbeh","",0,8912
"MA","Abington",2502300170,"President","Gary Johnson","Libertarian",417,8912
"MA","Abington",2502300170,"President","Laurence Kotlikoff","",0,8912
"MA","Abington",2502300170,"President","Evan McMullin","Independent",0,8912
"MA","Abington",2502300170,"President","Monica Moorehead","Workers World",0,8912
"MA","Abington",2502300170,"President","No Preference","",0,8912
"MA","Abington",2502300170,"President","Marshall Roy Schoenke","",0,8912
"MA","Abington",2502300170,"President","Jill Stein","Green",102,8912
"MA","Abington",2502300170,"President","Donald Trump","Republican",4017,8912
"MA","Acton",2501700380,"President","All Others","",230,12967
"MA","Acton",2501700380,"President","Blank Votes","",184,12967
"MA","Acton",2501700380,"President","Hillary Clinton","Democrat",9198,12967
"MA","Acton",2501700380,"President","Feegbeh","",0,12967
"MA","Acton",2501700380,"President","Gary Johnson","Libertarian",552,12967
"MA","Acton",2501700380,"President","Laurence Kotlikoff","",0,12967
"MA","Acton",2501700380,"President","Evan McMullin","Independent",40,12967
"MA","Acton",2501700380,"President","Monica Moorehead","Workers World",0,12967
"MA","Acton",2501700380,"President","No Preference","",0,12967
"MA","Acton",2501700380,"President","Marshall Roy Schoenke","",0,12967
"MA","Acton",2501700380,"President","Jill Stein","Green",208,12967
"MA","Acton",2501700380,"President","Donald Trump","Republican",2555,12967
"MA","Acushnet",2500500520,"President","All Others","",65,5672
"MA","Acushnet",2500500520,"President","Blank Votes","",106,5672
"MA","Acushnet",2500500520,"President","Hillary Clinton","Democrat",2401,5672
"MA","Acushnet",2500500520,"President","Feegbeh","",0,5672
"MA","Acushnet",2500500520,"President","Gary Johnson","Libertarian",174,5672
"MA","Acushnet",2500500520,"President","Laurence Kotlikoff","",0,5672
"MA","Acushnet",2500500520,"President","Evan McMullin","Independent",5,5672
"MA","Acushnet",2500500520,"President","Monica Moorehead","Workers World",0,5672
"MA","Acushnet",2500500520,"President","No Preference","",0,5672
"MA","Acushnet",2500500520,"President","Marshall Roy Schoenke","",0,5672
"MA","Acushnet",2500500520,"President","Jill Stein","Green",87,5672
"MA","Acushnet",2500500520,"President","Donald Trump","Republican",2834,5672
"MA","Adams",2500300555,"President","All Others","",43,4080
"MA","Adams",2500300555,"President","Blank Votes","",59,4080
"MA","Adams",2500300555,"President","Hillary Clinton","Democrat",2413,4080
"MA","Adams",2500300555,"President","Feegbeh","",0,4080
"MA","Adams",2500300555,"President","Gary Johnson","Libertarian",189,4080
"MA","Adams",2500300555,"President","Laurence Kotlikoff","",0,4080
"MA","Adams",2500300555,"President","Evan McMullin","Independent",11,4080
"MA","Adams",2500300555,"President","Monica Moorehead","Workers World",0,4080
"MA","Adams",2500300555,"President","No Preference","",0,4080
"MA","Adams",2500300555,"President","Marshall Roy Schoenke","",0,4080
"MA","Adams",2500300555,"President","Jill Stein","Green",80,4080
"MA","Adams",2500300555,"President","Donald Trump","Republican",1285,4080
"MA","Agawam",2501300765,"President","All Others","",188,14877
"MA","Agawam",2501300765,"President","Blank Votes","",192,14877
"MA","Agawam",2501300765,"President","Hillary Clinton","Democrat",6208,14877
"MA","Agawam",2501300765,"President","Feegbeh","",0,14877
"MA","Agawam",2501300765,"President","Gary Johnson","Libertarian",651,14877
"MA","Agawam",2501300765,"President","Laurence Kotlikoff","",0,14877
"MA","Agawam",2501300765,"President","Evan McMullin","Independent",9,14877
"MA","Agawam",2501300765,"President","Monica Moorehead","Workers World",0,14877
"MA","Agawam",2501300765,"President","No Preference","",0,14877
"MA","Agawam",2501300765,"President","Marshall Roy Schoenke","",0,14877
"MA","Agawam",2501300765,"President","Jill Stein","Green",208,14877
"MA","Agawam",2501300765,"President","Donald Trump","Republican",7421,14877
"MA","Alford",2500300975,"President","All Others","",5,307
"MA","Alford",2500300975,"President","Blank Votes","",8,307
"MA","Alford",2500300975,"President","Hillary Clinton","Democrat",226,307
"MA","Alford",2500300975,"President","Feegbeh","",0,307
"MA","Alford",2500300975,"President","Gary Johnson","Libertarian",8,307
"MA","Alford",2500300975,"President","Laurence Kotlikoff","",0,307
"MA","Alford",2500300975,"President","Evan McMullin","Independent",0,307
"MA","Alford",2500300975,"President","Monica Moorehead","Workers World",0,307
"MA","Alford",2500300975,"President","No Preference","",0,307
"MA","Alford",2500300975,"President","Marshall Roy Schoenke","",0,307
"MA","Alford",2500300975,"President","Jill Stein","Green",8,307
"MA","Alford",2500300975,"President","Donald Trump","Republican",52,307
"MA","Amesbury",2500901185,"President","All Others","",145,9402
"MA","Amesbury",2500901185,"President","Blank Votes","",161,9402
"MA","Amesbury",2500901185,"President","Hillary Clinton","Democrat",5174,9402
"MA","Amesbury",2500901185,"President","Feegbeh","",0,9402
"MA","Amesbury",2500901185,"President","Gary Johnson","Libertarian",527,9402
"MA","Amesbury",2500901185,"President","Laurence Kotlikoff","",0,9402
"MA","Amesbury",2500901185,"President","Evan McMullin","Independent",13,9402
"MA","Amesbury",2500901185,"President","Monica Moorehead","Workers World",0,9402
"MA","Amesbury",2500901185,"President","No Preference","",0,9402
"MA","Amesbury",2500901185,"President","Marshall Roy Schoenke","",0,9402
"MA","Amesbury",2500901185,"President","Jill Stein","Green",151,9402
"MA","Amesbury",2500901185,"President","Donald Trump","Republican",3231,9402
"MA","Amherst",2501501325,"President","All Others","",253,15066
"MA","Amherst",2501501325,"President","Blank Votes","",139,15066
"MA","Amherst",2501501325,"President","Hillary Clinton","Democrat",12357,15066
"MA","Amherst",2501501325,"President","Feegbeh","",0,15066
"MA","Amherst",2501501325,"President","Gary Johnson","Libertarian",445,15066
"MA","Amherst",2501501325,"President","Laurence Kotlikoff","",0,15066
"MA","Amherst",2501501325,"President","Evan McMullin","Independent",11,15066
"MA","Amherst",2501501325,"President","Monica Moorehead","Workers World",0,15066
"MA","Amherst",2501501325,"President","No Preference","",0,15066
"MA","Amherst",2501501325,"President","Marshall Roy Schoenke","",0,15066
"MA","Amherst",2501501325,"President","Jill Stein","Green",613,15066
"MA","Amherst",2501501325,"President","Donald Trump","Republican",1248,15066
"MA","Andover",2500901465,"President","All Others","",335,19572
"MA","Andover",2500901465,"President","Blank Votes","",353,19572
"MA","Andover",2500901465,"President","Hillary Clinton","Democrat",11222,19572
"MA","Andover",2500901465,"President","Feegbeh","",0,19572
"MA","Andover",2500901465,"President","Gary Johnson","Libertarian",895,19572
"MA","Andover",2500901465,"President","Laurence Kotlikoff","",0,19572
"MA","Andover",2500901465,"President","Evan McMullin","Independent",43,19572
"MA","Andover",2500901465,"President","Monica Moorehead","Workers World",0,19572
"MA","Andover",2500901465,"President","No Preference","",0,19572
"MA","Andover",2500901465,"President","Marshall Roy Schoenke","",0,19572
"MA","Andover",2500901465,"President","Jill Stein","Green",202,19572
"MA","Andover",2500901465,"President","Donald Trump","Republican",6522,19572
"MA","Aquinnah",2500701585,"President","All Others","",5,287
"MA","Aquinnah",2500701585,"President","Blank Votes","",3,287
"MA","Aquinnah",2500701585,"President","Hillary Clinton","Democrat",232,287
"MA","Aquinnah",2500701585,"President","Feegbeh","",0,287
"MA","Aquinnah",2500701585,"President","Gary Johnson","Libertarian",6,287
"MA","Aquinnah",2500701585,"President","Laurence Kotlikoff","",0,287
"MA","Aquinnah",2500701585,"President","Evan McMullin","Independent",0,287
"MA","Aquinnah",2500701585,"President","Monica Moorehead","Workers World",0,287
"MA","Aquinnah",2500701585,"President","No Preference","",0,287
"MA","Aquinnah",2500701585,"President","Marshall Roy Schoenke","",0,287
"MA","Aquinnah",2500701585,"President","Jill Stein","Green",7,287
"MA","Aquinnah",2500701585,"President","Donald Trump","Republican",34,287
"MA","Arlington",2501701605,"President","All Others","",430,27271
"MA","Arlington",2501701605,"President","Blank Votes","",410,27271
"MA","Arlington",2501701605,"President","Hillary Clinton","Democrat",20539,27271
"MA","Arlington",2501701605,"President","Feegbeh","",0,27271
"MA","Arlington",2501701605,"President","Gary Johnson","Libertarian",732,27271
"MA","Arlington",2501701605,"President","Laurence Kotlikoff","",0,27271
"MA","Arlington",2501701605,"President","Evan McMullin","Independent",51,27271
"MA","Arlington",2501701605,"President","Monica Moorehead","Workers World",0,27271
"MA","Arlington",2501701605,"President","No Preference","",0,27271
"MA","Arlington",2501701605,"President","Marshall Roy Schoenke","",0,27271
"MA","Arlington",2501701605,"President","Jill Stein","Green",457,27271
"MA","Arlington",2501701605,"President","Donald Trump","Republican",4652,27271
"MA","Ashburnham",2502701885,"President","All Others","",75,3399
"MA","Ashburnham",2502701885,"President","Blank Votes","",47,3399
"MA","Ashburnham",2502701885,"President","Hillary Clinton","Democrat",1439,3399
"MA","Ashburnham",2502701885,"President","Feegbeh","",0,3399
"MA","Ashburnham",2502701885,"President","Gary Johnson","Libertarian",247,3399
"MA","Ashburnham",2502701885,"President","Laurence Kotlikoff","",0,3399
"MA","Ashburnham",2502701885,"President","Evan McMullin","Independent",3,3399
"MA","Ashburnham",2502701885,"President","Monica Moorehead","Workers World",0,3399
"MA","Ashburnham",2502701885,"President","No Preference","",0,3399
"MA","Ashburnham",2502701885,"President","Marshall Roy Schoenke","",0,3399
"MA","Ashburnham",2502701885,"President","Jill Stein","Green",66,3399
"MA","Ashburnham",2502701885,"President","Donald Trump","Republican",1522,3399
"MA","Ashby",2501701955,"President","All Others","",20,1933
"MA","Ashby",2501701955,"President","Blank Votes","",42,1933
"MA","Ashby",2501701955,"President","Hillary Clinton","Democrat",722,1933
"MA","Ashby",2501701955,"President","Feegbeh","",0,1933
"MA","Ashby",2501701955,"President","Gary Johnson","Libertarian",129,1933
"MA","Ashby",2501701955,"President","Laurence Kotlikoff","",0,1933
"MA","Ashby",2501701955,"President","Evan McMullin","Independent",1,1933
"MA","Ashby",2501701955,"President","Monica Moorehead","Workers World",0,1933
"MA","Ashby",2501701955,"President","No Preference","",0,1933
"MA","Ashby",2501701955,"President","Marshall Roy Schoenke","",0,1933
"MA","Ashby",2501701955,"President","Jill Stein","Green",45,1933
"MA","Ashby",2501701955,"President","Donald Trump","Republican",974,1933
"MA","Ashfield",2501102095,"President","All Others","",2,1155
"MA","Ashfield",2501102095,"President","Blank Votes","",23,1155
"MA","Ashfield",2501102095,"President","Hillary Clinton","Democrat",836,1155
"MA","Ashfield",2501102095,"President","Feegbeh","",0,1155
"MA","Ashfield",2501102095,"President","Gary Johnson","Libertarian",52,1155
"MA","Ashfield",2501102095,"President","Laurence Kotlikoff","",0,1155
"MA","Ashfield",2501102095,"President","Evan McMullin","Independent",2,1155
"MA","Ashfield",2501102095,"President","Monica Moorehead","Workers World",12,1155
"MA","Ashfield",2501102095,"President","No Preference","",0,1155
"MA","Ashfield",2501102095,"President","Marshall Roy Schoenke","",0,1155
"MA","Ashfield",2501102095,"President","Jill Stein","Green",44,1155
"MA","Ashfield",2501102095,"President","Donald Trump","Republican",184,1155
"MA","Ashland",2501702130,"President","All Others","",0,9326
"MA","Ashland",2501702130,"President","Blank Votes","",312,9326
"MA","Ashland",2501702130,"President","Hillary Clinton","Democrat",5684,9326
"MA","Ashland",2501702130,"President","Feegbeh","",0,9326
"MA","Ashland",2501702130,"President","Gary Johnson","Libertarian",457,9326
"MA","Ashland",2501702130,"President","Laurence Kotlikoff","",0,9326
"MA","Ashland",2501702130,"President","Evan McMullin","Independent",0,9326
"MA","Ashland",2501702130,"President","Monica Moorehead","Workers World",0,9326
"MA","Ashland",2501702130,"President","No Preference","",0,9326
"MA","Ashland",2501702130,"President","Marshall Roy Schoenke","",0,9326
"MA","Ashland",2501702130,"President","Jill Stein","Green",105,9326
"MA","Ashland",2501702130,"President","Donald Trump","Republican",2768,9326
"MA","Athol",2502702480,"President","All Others","",135,5056
"MA","Athol",2502702480,"President","Blank Votes","",66,5056
"MA","Athol",2502702480,"President","Hillary Clinton","Democrat",2076,5056
"MA","Athol",2502702480,"President","Feegbeh","",0,5056
"MA","Athol",2502702480,"President","Gary Johnson","Libertarian",328,5056
"MA","Athol",2502702480,"President","Laurence Kotlikoff","",0,5056
"MA","Athol",2502702480,"President","Evan McMullin","Independent",0,5056
"MA","Athol",2502702480,"President","Monica Moorehead","Workers World",0,5056
"MA","Athol",2502702480,"President","No Preference","",0,5056
"MA","Athol",2502702480,"President","Marshall Roy Schoenke","",0,5056
"MA","Athol",2502702480,"President","Jill Stein","Green",116,5056
"MA","Athol",2502702480,"President","Donald Trump","Republican",2335,5056
"MA","Attleboro",2500502690,"President","All Others","",130,20881
"MA","Attleboro",2500502690,"President","Blank Votes","",309,20881
"MA","Attleboro",2500502690,"President","Hillary Clinton","Democrat",10518,20881
"MA","Attleboro",2500502690,"President","Feegbeh","",0,20881
"MA","Attleboro",2500502690,"President","Gary Johnson","Libertarian",1032,20881
"MA","Attleboro",2500502690,"President","Laurence Kotlikoff","",0,20881
"MA","Attleboro",2500502690,"President","Evan McMullin","Independent",0,20881
"MA","Attleboro",2500502690,"President","Monica Moorehead","Workers World",0,20881
"MA","Attleboro",2500502690,"President","No Preference","",0,20881
"MA","Attleboro",2500502690,"President","Marshall Roy Schoenke","",0,20881
"MA","Attleboro",2500502690,"President","Jill Stein","Green",321,20881
"MA","Attleboro",2500502690,"President","Donald Trump","Republican",8571,20881
"MA","Auburn",2502702760,"President","All Others","",136,9455
"MA","Auburn",2502702760,"President","Blank Votes","",157,9455
"MA","Auburn",2502702760,"President","Hillary Clinton","Democrat",4496,9455
"MA","Auburn",2502702760,"President","Feegbeh","",0,9455
"MA","Auburn",2502702760,"President","Gary Johnson","Libertarian",553,9455
